"특성별(1)",특성별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"특성별(1)",특성별(2),직업,직업,직업,직업,직업,직업,직업,직업,직업,직업,직업,직업,직업,직업,주택구분,주택구분,주택구분,주택구분,주택구분,월평균 소득,월평균 소득,월평균 소득,월평균 소득,월평균 소득,월평균 소득,월평균 소득,월평균 소득,월평균 소득
"특성별(1)",특성별(2),관리자,전문가 및 관련종사자,사무 종사자,서비스 종사자,판매 종사자,농림수산업 종사자,기능원 및 관련 기능 종사자,장치·기계 조작 및 조립 종사자,단순노무 종사자,군인,학생,주부,취업 준비중,무직,단독주택(원룸 다가구 포함),아파트,연립주택,다세대주택,기타(오피스텔 상가내 거처 등),100만원 미만,100~200만원 미만,200~300만원 미만,300~400만원 미만,400~500만원 미만,500~600만원 미만,600~700만원 미만,700~800만원 미만,800만원 이상
"전체",소계,6.7,21.9,17.4,16.5,3.8,0.9,3.9,1.6,2.9,0.5,8.1,14.0,0.7,0.9,22.2,57.9,7.5,9.8,2.6,9.1,15.9,27.9,23.2,11.9,6.1,2.1,1.3,2.5
"시도별",제주시,6.7,21.4,19.2,15.8,4.3,0.4,2.1,2.1,3.0,0.3,7.7,15.4,1.0,0.7,22.8,55.7,7.5,11.1,2.9,9.8,16.9,30.4,18.2,13.3,5.4,2.1,1.5,2.4
"시도별",서귀포시,6.8,22.9,14.3,17.8,3.0,1.7,7.0,0.8,2.7,1.0,8.9,11.5,0.4,1.2,20.9,62.3,7.4,7.4,2.0,7.6,14.1,23.0,32.7,9.2,7.4,2.3,1.0,2.7
"읍면별",제주시 동부,5.8,21.3,24.7,14.9,3.5,0.0,1.5,2.2,2.8,0.0,10.4,11.9,0.4,0.7,21.9,56.4,8.0,10.8,3.0,10.5,18.1,33.6,18.3,12.7,4.1,1.6,0.5,0.5
"읍면별",제주시 읍면부,8.5,21.7,8.2,17.6,6.0,1.2,3.3,1.9,3.3,0.8,2.3,22.3,2.1,0.7,25.5,53.6,6.3,11.9,2.7,8.0,13.5,21.3,18.1,15.1,9.0,3.2,4.1,7.7
"읍면별",서귀포시 동부,4.6,22.0,16.4,18.7,1.9,1.6,7.9,0.9,1.4,1.2,9.6,11.2,0.6,1.8,21.3,58.3,10.3,7.2,3.0,11.0,19.9,23.1,17.2,13.2,9.9,1.7,1.6,2.4
"읍면별",서귀포시 읍면부,9.9,24.0,11.5,16.6,4.4,1.7,5.8,0.7,4.5,0.7,8.1,11.8,0.0,0.3,20.5,66.2,4.7,7.7,1.0,4.4,8.4,23.0,47.7,5.2,4.9,2.8,0.5,3.1
"소득별",100만원 미만,4.6,4.9,2.1,22.2,5.6,3.1,0.0,5.8,23.2,0.0,5.9,19.1,0.0,3.6,41.8,32.8,14.7,10.6,0.0,37.7,35.1,17.7,0.0,3.3,4.8,0.0,0.0,1.4
"소득별",100~200만원 미만,1.2,12.8,7.8,25.4,4.1,0.5,3.8,4.6,3.6,0.0,14.8,19.0,1.9,0.6,29.9,48.6,7.5,10.4,3.6,16.6,36.1,26.2,9.8,5.1,5.3,0.0,0.0,0.9
"소득별",200~300만원 미만,6.6,18.9,15.6,18.1,3.2,1.1,5.1,0.5,3.6,0.6,10.4,14.3,1.1,1.1,23.0,51.3,9.4,11.2,5.1,14.6,19.1,42.7,13.0,7.6,0.0,0.0,0.8,2.1
"소득별",300~400만원 미만,9.1,20.9,16.2,18.1,6.3,1.0,5.7,2.6,2.3,1.0,7.0,9.0,0.5,0.3,22.8,60.9,5.4,9.4,1.5,1.4,5.6,21.9,53.8,9.5,4.8,2.7,0.0,0.3
"소득별",400~500만원 미만,9.6,29.1,31.3,11.8,2.9,0.0,0.0,0.0,0.8,0.0,3.9,9.9,0.7,0.0,13.5,67.6,9.5,8.6,0.7,1.9,18.0,27.9,17.3,21.4,6.8,2.7,2.8,1.0
"소득별",500~600만원 미만,3.9,30.1,19.0,10.0,4.8,0.0,1.1,2.9,0.0,0.0,6.5,21.6,0.0,0.0,0.0,73.7,4.4,21.9,0.0,5.4,1.7,20.5,14.9,22.5,33.3,1.7,0.0,0.0
"소득별",600~700만원 미만,5.0,34.6,21.2,10.2,0.0,2.5,3.5,0.0,0.0,1.9,4.4,16.9,0.0,0.0,16.5,76.8,4.6,0.0,2.1,0.0,4.0,15.6,4.0,35.6,13.0,22.7,0.0,5.1
"소득별",700만원 이상,6.0,29.8,19.7,7.9,0.0,0.0,4.4,0.0,0.0,0.0,7.0,21.1,0.0,4.2,24.3,69.4,2.9,0.0,3.4,0.0,3.3,16.7,17.5,18.4,7.8,0.0,13.2,23.1
"주거형태별",단독주택(원룸 다가구 포함),8.2,22.3,13.9,14.4,3.3,1.1,5.1,1.8,4.9,0.6,7.5,14.5,1.3,1.2,33.9,42.9,9.1,11.1,3.0,8.4,14.7,28.3,18.6,12.0,7.9,3.2,2.3,4.7
"주거형태별",아파트,5.4,19.4,24.8,15.4,3.8,0.6,2.8,1.8,1.1,0.0,9.0,15.5,0.3,0.2,13.5,71.3,5.2,7.2,2.8,11.1,17.0,25.8,19.3,15.7,5.2,2.5,1.2,2.0
"주거형태별",다세대주택,3.3,26.3,11.3,20.1,7.3,1.5,2.9,0.0,1.6,0.0,13.0,10.0,0.0,2.5,21.3,52.3,12.1,14.3,0.0,13.3,26.0,31.7,22.3,5.2,1.4,0.0,0.0,0.0
"주거형태별",연립주택,7.4,29.6,16.4,29.1,5.2,0.0,0.0,3.1,0.0,0.0,0.0,9.3,0.0,0.0,10.7,68.4,6.1,12.0,2.9,3.2,12.0,28.2,45.5,8.2,2.9,0.0,0.0,0.0
"주거형태별",기타,7.5,19.9,5.0,34.4,0.0,0.0,7.4,0.0,0.0,9.6,8.6,7.5,0.0,0.0,29.7,57.6,9.4,3.3,0.0,12.6,15.0,33.7,19.4,3.0,16.3,0.0,0.0,0.0
"주거점유형태별",자기집,8.3,23.7,21.1,12.5,3.4,0.9,2.6,1.7,1.0,0.0,7.5,16.2,0.4,0.7,13.1,67.8,5.1,11.5,2.5,7.1,15.7,21.0,18.1,20.0,9.9,1.3,2.7,4.3
"주거점유형태별",전세,7.4,27.1,15.5,15.9,4.0,2.3,1.8,0.0,0.0,3.1,2.2,17.7,1.9,1.1,30.4,45.2,1.7,18.9,3.8,4.6,8.2,40.8,18.8,3.9,8.4,0.0,6.7,8.5
"주거점유형태별",보증금 있는 연/월세,6.6,17.2,13.8,23.8,5.0,0.9,3.8,1.8,3.0,1.1,8.8,12.8,0.9,0.6,23.3,57.3,10.7,7.5,1.1,11.2,17.3,27.8,27.4,8.3,4.2,3.3,0.0,0.5
"주거점유형태별",보증금 없는 연/월세(사글세),3.5,13.3,11.9,15.0,3.5,1.1,9.7,1.4,9.6,0.0,11.9,16.9,2.1,0.0,44.9,29.5,9.3,11.9,4.3,6.7,13.5,31.5,31.7,8.1,4.5,1.3,1.5,1.1
"주거점유형태별",무상 및 기타,4.8,32.3,20.9,11.1,2.2,0.0,4.7,2.0,4.0,0.0,7.8,7.7,0.0,2.3,23.6,58.1,3.7,8.1,6.5,9.9,16.3,38.6,17.9,9.3,2.5,1.8,0.0,3.6
"성별",남성,9.6,25.8,20.0,15.4,2.9,0.9,6.1,3.1,3.8,1.0,8.3,0.8,1.0,1.4,22.6,59.3,6.4,8.5,3.1,7.0,10.4,29.5,28.7,11.7,5.9,2.2,1.5,3.0
"성별",여성,3.8,17.9,14.7,17.7,4.7,0.9,1.6,0.1,1.9,0.0,8.0,27.8,0.5,0.3,21.5,55.9,9.0,11.6,1.9,12.0,24.0,25.4,15.3,12.2,6.3,1.9,1.0,1.9
"연령별",15~19세,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"연령별",20~29세,8.2,12.9,19.6,14.6,1.8,0.0,2.1,0.0,0.0,2.1,31.4,3.5,1.6,2.1,20.4,59.4,4.8,10.4,5.0,51.2,21.7,25.9,1.2,0.0,0.0,0.0,0.0,0.0
"연령별",30~39세,2.2,27.8,25.1,16.0,2.7,0.4,4.0,1.9,2.4,0.5,2.8,13.1,0.9,0.0,24.2,55.6,8.4,7.8,4.0,5.0,11.4,43.2,17.0,13.6,2.8,3.4,1.6,1.9
"연령별",40~49세,10.3,25.9,15.8,14.6,5.1,1.4,4.2,3.0,3.2,0.4,0.4,13.9,1.0,0.6,16.7,63.5,6.3,11.8,1.6,4.2,12.1,20.0,38.9,13.9,7.0,2.4,0.0,1.5
"연령별",50~59세,9.7,20.1,8.7,26.5,4.7,1.2,7.0,0.0,2.7,0.0,0.0,19.4,0.0,0.0,23.8,53.3,8.9,10.9,3.1,3.4,24.4,25.3,22.4,7.9,8.2,2.2,3.8,2.2
"연령별",60세 이상,7.7,13.5,12.7,16.5,6.1,1.5,1.7,1.9,8.0,0.0,0.0,26.0,0.0,4.2,29.1,55.3,7.9,7.7,0.0,11.7,19.0,20.3,13.7,15.8,10.7,0.0,1.1,7.7
"학력별",초졸 이하,4.8,9.1,8.6,15.5,2.9,4.9,9.5,0.0,22.0,0.0,0.0,22.7,0.0,0.0,36.0,32.1,13.9,18.0,0.0,18.7,32.2,22.9,5.9,20.4,0.0,0.0,0.0,0.0
"학력별",중학교 졸업,1.6,0.0,0.0,14.9,4.5,0.0,11.9,4.3,14.7,0.0,19.7,26.0,0.0,2.3,33.4,33.9,9.6,23.0,0.0,21.6,16.9,20.0,30.9,7.4,0.0,0.0,0.0,3.1
"학력별",고등학교 졸업,4.8,7.2,11.4,26.2,6.7,0.7,5.7,2.8,5.4,0.0,10.3,18.6,0.0,0.2,24.7,46.9,10.3,15.5,2.6,7.9,23.3,31.8,22.0,7.5,5.9,0.9,0.0,0.6
"학력별",대학교 졸업,7.2,26.6,20.9,14.1,2.9,0.9,2.7,1.0,0.8,0.8,7.4,12.5,1.2,0.9,19.6,63.6,6.7,7.4,2.8,9.2,12.5,27.7,26.3,11.2,6.2,2.6,1.3,2.8
"학력별",대학원 졸업,14.2,56.0,19.2,0.0,0.0,0.0,2.0,2.3,0.0,0.0,3.0,0.0,0.0,3.3,25.5,65.1,1.9,4.5,2.9,1.3,14.4,22.0,5.6,28.8,10.7,3.6,6.4,7.2
"직업별",전문/관리,14.3,63.8,7.9,4.0,1.3,0.4,1.7,0.5,0.0,0.0,3.0,2.2,0.9,0.0,23.3,56.5,5.4,9.2,5.6,5.2,14.0,31.6,17.9,15.7,7.7,0.8,2.3,4.7
"직업별",사무직,1.9,13.4,64.4,8.1,0.0,0.0,0.0,0.0,1.5,0.0,5.5,3.7,1.5,0.0,13.0,65.0,3.3,11.7,7.0,8.4,13.1,25.9,19.8,22.5,3.7,4.4,0.0,2.1
"직업별",서비스/판매,3.9,11.3,17.8,37.1,7.1,0.5,1.7,0.6,0.7,0.9,9.2,7.5,0.8,0.9,21.3,56.5,10.9,10.5,0.9,12.1,20.1,31.6,21.5,7.2,3.4,2.3,1.2,0.6
"직업별",농/림/어업,23.8,13.9,24.0,4.5,5.6,10.9,7.8,1.8,0.0,0.0,4.0,3.6,0.0,0.0,24.8,42.6,9.5,20.0,3.1,6.4,30.0,22.8,2.9,16.5,8.8,4.0,3.1,5.5
"직업별",기능/단순노무,5.8,4.6,4.9,7.5,5.6,2.1,24.7,11.6,22.2,0.0,5.0,6.0,0.0,0.0,25.6,61.3,6.5,5.9,0.7,8.4,11.2,26.1,45.4,6.0,2.8,0.0,0.0,0.0
"직업별",학생,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"직업별",주부,3.0,9.9,12.7,11.3,3.8,0.3,0.4,0.0,0.4,0.0,1.2,56.2,0.0,0.9,23.9,60.1,7.0,8.2,0.9,14.6,14.2,14.6,21.3,12.4,10.9,5.6,2.9,3.4
"직업별",무직/기타,6.5,7.1,24.0,23.3,0.0,0.0,2.9,2.9,4.3,5.9,0.0,9.8,3.6,9.8,23.4,52.8,9.1,14.7,0.0,3.5,17.4,29.1,8.0,15.6,16.3,1.5,0.0,8.5
